term,estimate,std.error,statistic,p.value,conf.low,conf.high,modele
pct_foret,-2.984657966360515e-4,7.375978557655062e-4,-0.40464569453810667,0.6857407407659293,-0.0017441871462876815,0.0011472555530155784,Forêt
pct_lisiere,-5.410218867772829e-5,0.0020114730063502365,-0.026896800755927246,0.9785422173428844,-0.003996669872135031,0.0038884654947795748,Lisière
pct_foret,-2.2410981844648084e-4,7.691190508275904e-4,-0.29138508297945986,0.7707587600731087,-0.0017316139733375504,0.0012833943364445888,Forêt + lisière + part agricole
pct_lisiere,1.829847742616233e-5,0.002040469374220209,0.008967778520643234,0.9928449012469274,-0.003981103248815152,0.004017700203667476,Forêt + lisière + part agricole
pct_agri,9.056810178373833e-5,2.512188784016353e-4,0.36051471274759417,0.7184646981073998,-4.018309651357911e-4,5.829671687032677e-4,Forêt + lisière + part agricole
pct_foret,-3.4341984209573654e-4,7.481014653202649e-4,-0.4590551656635471,0.6461980319723891,-0.0018097336787200788,0.0011228939945286055,Lisière x typologie agricole
pct_lisiere:type_lcaannuel,-0.0035383055312576163,0.004512853143009433,-0.7840506701926641,0.43301685699942827,-0.012383708612262826,0.005307097549747593,Lisière x typologie agricole
pct_lisiere:type_lcamixte,-8.311741335261212e-4,0.0021363655627926067,-0.38905988188633317,0.697234739296704,-0.0050185504855687945,0.003356202218516552,Lisière x typologie agricole
pct_lisiere:type_lcaperenne,0.005774088153432303,0.006755988487699501,0.8546622250681858,0.392745310602038,-0.007467965042316457,0.019016141349181063,Lisière x typologie agricole
pct_lisiere,-3.009773357300161e-4,0.0020889196946141286,-0.14408276991500793,0.8854361231272702,-0.004395357568628646,0.0037934028971686137,Forêt x typologie agricole
pct_foret:type_lcaannuel,-0.001563936582701373,5.626454054019628e-4,-2.77961317676463,0.00544591360257238,-0.0026667478740825747,-4.611252913201713e-4,Forêt x typologie agricole
pct_foret:type_lcamixte,0.0014041980124901963,0.0016018418326847457,0.8766146468635476,0.3807033262823082,-0.001735486846092197,0.00454388287107259,Forêt x typologie agricole
pct_foret:type_lcaperenne,-0.001120983372653304,0.001721179050805867,-0.6512880644976781,0.5148657720362506,-0.004494574756308932,0.0022526080110023233,Forêt x typologie agricole
