type_lca,nb_communes,variation_moyenne_productivite,variation_moyenne_pct_agri,variation_moyenne_pct_foret,variation_moyenne_pct_lisiere
annuel,12824,-0.06637281181683057,-2.390755715495012,-0.49765737941007815,-0.050048795335074635
mixte,13679,-0.014651045463006487,-1.2680009696996184,-0.37012596193730624,-0.126806613008463
perenne,2284,0.6866682697815651,-2.0263739372018543,-0.6896990625212951,-0.3552371784437666
NA,2631,1.0877268045917008,-1.9481380168566294,-0.45775367855970883,-0.17255143469378567
