periode,libelle_periode,nb_communes,productivite_moyenne,productivite_mediane,pct_agri_moyen,pct_foret_moyen,pct_lisiere_moyen
1,1988/1990,32973,2.6046696542725467,1.416163954725405,70.64447670460152,12.972164601470173,2.5625281385887964
2,2000,30770,2.613477416058499,1.354656935729341,70.86832214222825,12.529070418658291,2.6132069020795217
3,2010/2012,28833,2.569153500909847,1.3065386672013903,69.13789661302704,12.261178929853507,2.6351127210188845
