term,estimate,std.error,statistic,p.value
(Intercept),-0.025825672297314604,0.002823458357725646,-9.146822451497998,6.248837157111909e-20
D1,-7.426376680117283e-4,1.1292303550661393e-4,-6.576494022499349,4.901257977271706e-11
delta_D,-0.0028589217005748676,7.016167414860128e-4,-4.074762661050131,4.618784534476192e-5
