traitement,variable_dependante,seuil,estimateur_as,n_observations_trim,n_switchers,n_stayers,commentaire
forêt,log(productivite),0.07200000000000001,6.990748755239517e-4,21337,3929,17408,OK
forêt,log(productivite),0.07300000000000001,6.828681838356869e-4,21353,3928,17425,OK
forêt,log(productivite),0.074,6.750202394139876e-4,21397,3950,17447,OK
forêt,log(productivite),0.075,6.032512762137506e-4,21456,3988,17468,OK
forêt,log(productivite),0.076,5.825000699337107e-4,21490,4009,17481,OK
forêt,log(productivite),0.077,6.303171549051495e-4,21528,4024,17504,OK
forêt,log(productivite),0.078,5.355308324775823e-4,21564,4044,17520,OK
forêt,log(productivite),0.079,5.890953371898846e-4,21596,4059,17537,OK
forêt,log(productivite),0.08,5.86225351395116e-4,21635,4080,17555,OK
forêt,log(productivite),0.081,5.930130430313375e-4,21678,4101,17577,OK
forêt,log(productivite),0.082,4.793433868768695e-4,21716,4121,17595,OK
forêt,log(productivite),0.083,5.139702153528497e-4,21767,4158,17609,OK
forêt,log(productivite),0.084,5.201847463624294e-4,21790,4166,17624,OK
forêt,log(productivite),0.085,4.298893921871939e-4,21832,4186,17646,OK
forêt,log(productivite),0.08600000000000001,5.332931830220045e-4,21873,4204,17669,OK
forêt,log(productivite),0.08700000000000001,5.513682045084779e-4,21879,4200,17679,OK
forêt,log(productivite),0.08800000000000001,5.322274886238766e-4,21911,4218,17693,OK
forêt,log(productivite),0.089,5.485958326850297e-4,21938,4227,17711,OK
forêt,log(productivite),0.09,5.648858729593472e-4,21951,4221,17730,OK
forêt,log(productivite),0.091,4.873452594051343e-4,21977,4225,17752,OK
forêt,log(productivite),0.092,4.7717554255343006e-4,21992,4226,17766,OK
forêt,log(productivite),0.093,3.590232028588389e-4,22107,4305,17802,OK
forêt,log(productivite),0.094,3.47888856460122e-4,22109,4296,17813,OK
forêt,log(productivite),0.095,4.98635281787231e-4,22124,4296,17828,OK
forêt,log(productivite),0.096,3.547476150909578e-4,22166,4320,17846,OK
forêt,log(productivite),0.097,2.872409610228458e-4,22193,4328,17865,OK
forêt,log(productivite),0.098,2.412322231512494e-4,22232,4349,17883,OK
forêt,log(productivite),0.099,1.7342779734276037e-4,22236,4339,17897,OK
forêt,log(productivite),0.1,1.3190423291291898e-4,22244,4335,17909,OK
lisière,log(productivite),0.001,0.0018724074463036741,17635,332,17303,OK
lisière,log(productivite),0.002,0.0018038481475980642,18066,600,17466,OK
lisière,log(productivite),0.003,0.0017729497106626275,18442,844,17598,OK
lisière,log(productivite),0.004,0.0023759653272331827,18816,1118,17698,OK
lisière,log(productivite),0.005,0.00234021614132275,19116,1299,17817,OK
lisière,log(productivite),0.006,0.0015286867402217325,19342,1440,17902,OK
lisière,log(productivite),0.007,0.0013534270215917064,19586,1579,18007,OK
lisière,log(productivite),0.008,0.0020720877401320704,19774,1682,18092,OK
lisière,log(productivite),0.009000000000000001,0.0033107921468129463,19979,1803,18176,OK
lisière,log(productivite),0.010000000000000002,0.003177582492251829,20222,1962,18260,OK
lisière,log(productivite),0.011,0.0032192293082491824,20417,2073,18344,OK
lisière,log(productivite),0.012,0.0035996388724996095,20551,2138,18413,OK
lisière,log(productivite),0.013000000000000001,0.0036450678827451453,20695,2215,18480,OK
lisière,log(productivite),0.014000000000000002,0.0036230642896131586,20766,2236,18530,OK
lisière,log(productivite),0.015,0.0034807283806453124,20864,2282,18582,OK
lisière,log(productivite),0.016,0.0027252266817827313,20992,2357,18635,OK
lisière,log(productivite),0.017,0.0031293979876830962,21120,2435,18685,OK
lisière,log(productivite),0.018000000000000002,0.0032034236590144254,21165,2433,18732,OK
lisière,log(productivite),0.019000000000000003,0.004194762533380762,21274,2494,18780,OK
lisière,log(productivite),0.02,0.003975536534179023,21411,2581,18830,OK
lisière,log(productivite),0.021,0.004308769767577334,21501,2623,18878,OK
lisière,log(productivite),0.022000000000000002,0.004097313552596039,21572,2656,18916,OK
lisière,log(productivite),0.023,0.004178331762710643,21651,2699,18952,OK
lisière,log(productivite),0.024,0.004021778135494437,21741,2754,18987,OK
lisière,log(productivite),0.025,0.004188690660272074,21786,2775,19011,OK
lisière,log(productivite),0.026000000000000002,0.004688752969973431,21855,2821,19034,OK
lisière,log(productivite),0.027000000000000003,0.0048352321422948505,21918,2860,19058,OK
lisière,log(productivite),0.028,0.004908614865773923,22014,2913,19101,OK
lisière,log(productivite),0.029,0.004955666903531793,22078,2943,19135,OK
lisière,log(productivite),0.030000000000000002,0.004732122003646572,22135,2968,19167,OK
lisière,log(productivite),0.031,0.003749802022868555,22194,2990,19204,OK
lisière,log(productivite),0.032,0.004108035965767615,22256,3025,19231,OK
lisière,log(productivite),0.033,0.0038453526900403922,22289,3023,19266,OK
lisière,log(productivite),0.034,0.0039269571019233925,22336,3049,19287,OK
lisière,log(productivite),0.035,0.004322518726523018,22384,3070,19314,OK
lisière,log(productivite),0.036000000000000004,0.004318951553187425,22436,3098,19338,OK
lisière,log(productivite),0.037000000000000005,0.003959746528558138,22472,3105,19367,OK
lisière,log(productivite),0.038,0.0038346421568342458,22511,3116,19395,OK
lisière,log(productivite),0.039,0.003919466346748508,22547,3121,19426,OK
lisière,log(productivite),0.04,0.003957620155639016,22566,3120,19446,OK
lisière,log(productivite),0.041,0.003917128201939872,22586,3102,19484,OK
lisière,log(productivite),0.042,0.0038293652630679597,22616,3102,19514,OK
lisière,log(productivite),0.043000000000000003,0.003856187937455643,22628,3084,19544,OK
lisière,log(productivite),0.044000000000000004,0.003890262444671733,22653,3086,19567,OK
lisière,log(productivite),0.045,0.0034859978963474765,22684,3098,19586,OK
lisière,log(productivite),0.046,0.003419121116996673,22700,3093,19607,OK
lisière,log(productivite),0.047,0.0033936010423107,22756,3108,19648,OK
lisière,log(productivite),0.048,0.0036880158948407083,22798,3115,19683,OK
lisière,log(productivite),0.049,0.003636235513826996,22823,3116,19707,OK
lisière,log(productivite),0.05,0.003538042896117379,22905,3166,19739,OK
lisière,log(productivite),0.051000000000000004,0.0033696934261302487,22940,3182,19758,OK
lisière,log(productivite),0.052000000000000005,0.0033585825361244835,22943,3167,19776,OK
lisière,log(productivite),0.053000000000000005,0.0029183165189551243,22978,3181,19797,OK
