type_lca,traitement,variable_dependante,estimateur_as,erreur_standard,p_value,ic_95_bas,ic_95_haut,n_communes,n_stayers,n_switchers,methode_se,commentaire
annuel,forêt,log(productivite),0.0024410667297159352,0.0020043331824803694,0.2232639962766343,-0.0014874263079455888,0.006369559767377459,8664,8515,149,HC1 sur switchers,OK - SE HC1 sur switchers
annuel,lisière,log(productivite),5.323423993783154e-4,0.007252780145841678,0.9414890972378929,-0.013683106686471373,0.014747791485228003,9977,9854,123,HC1 sur switchers,OK - SE HC1 sur switchers
mixte,forêt,log(productivite),6.869971727560946e-4,0.0029304985712950114,0.8146510667985369,-0.005056780026982127,0.006430774372494317,8214,5906,2308,HC1 sur switchers,OK - SE HC1 sur switchers
mixte,lisière,log(productivite),0.0027561371279294857,0.00453912001720896,0.5437206111361215,-0.006140538105800076,0.011652812361659047,8887,6779,2108,HC1 sur switchers,OK - SE HC1 sur switchers
perenne,forêt,log(productivite),-0.002885250804682287,0.005731230043083211,0.6146647233049338,-0.01411846168912538,0.008347960079760807,1464,1023,441,HC1 sur switchers,OK - SE HC1 sur switchers
perenne,lisière,log(productivite),0.011858389082784176,0.010812377951990084,0.2727541883018183,-0.009333871703116389,0.03305064986868474,1590,1170,420,HC1 sur switchers,OK - SE HC1 sur switchers
