nclass,logLik,AIC,BIC,Gsq,Chisq
6,-76235.38018081397,152576.76036162794,153018.3262280754,941.7220222990909,1082.1065450991555
5,-76521.12035332625,153130.2407066525,153496.8236901183,1513.2023673242306,1688.843479000258
4,-76991.98065295971,154053.96130591942,154345.56140640358,2454.9229665895996,5761.6167834782
3,-78229.34403283878,156510.68806567756,156727.3052831801,4929.6497263485,22790.13376263688
2,-81458.89977289988,162951.79954579976,163093.43388032063,11388.761206469317,56186.64036825097
