"X","seuil","delta_1","n_switchers"
1,0.00287577520124614,-1.1221130723731,8595
2,0.00788305135443807,0.574813753325227,6416
3,0.004089769218117,0.682296368757938,7982
4,0.00883017404004931,0.823283274544959,6099
5,0.00940467284293845,1.69108793240534,5932
6,0.000455564993899316,-10.2381257482318,10558
7,0.00528105488047004,3.3686399077255,7424
8,0.00892419044394046,0.772457769465392,6073
9,0.00551435014465824,3.75571191057366,7336
10,0.00456614735303447,1.7120227990356,7738
NA,0.00287577520124614,-1.1221130723731,8595
NA,0.00788305135443807,0.574813753325227,6416
NA,0.004089769218117,0.682296368757938,7982
NA,0.00883017404004931,0.823283274544959,6099
NA,0.00940467284293845,1.69108793240534,5932
NA,0.000455564993899316,-10.2381257482318,10558
NA,0.00528105488047004,3.3686399077255,7424
NA,0.00892419044394046,0.772457769465392,6073
NA,0.00551435014465824,3.75571191057366,7336
NA,0.00456614735303447,1.7120227990356,7738
NA,0.00956833345349878,1.6992713607761,5869
NA,0.00453334156190977,2.05649177237728,7753
NA,0.00677570635452867,3.01851676051545,6812
NA,0.00572633401956409,4.18882453373103,7241
NA,0.00102924682665616,-4.41193138782136,9974
NA,0.00899824970401824,1.27537015525063,6050
NA,0.0024608773435466,-1.73907067007514,8853
NA,0.000420595335308462,-1.07394816357911,10612
NA,0.00327920719282702,-0.810476875713298,8386
NA,0.00954503649147227,1.70125159838,5875
NA,0.00889539316063747,0.77812209586127,6075
NA,0.00692803406156599,2.96644430298341,6764
NA,0.00640506813768297,3.78009195157608,6981
NA,0.00994269776623696,1.68438889157342,5747
NA,0.00655705799115822,3.58316882328762,6915
NA,0.00708530468167737,2.82810154146605,6701
NA,0.00544066024711356,3.76303448078419,7362
NA,0.0059414202044718,3.90131778251645,7158
NA,0.0028915973729454,-1.09593107148072,8588
NA,0.00147113647311926,-3.41673227099154,9580
NA,0.00963024232536554,1.76664977855751,5844
NA,0.00902299045119435,1.2894372822707,6043
NA,0.00690705278422683,2.99499975574025,6772
NA,0.00795467417687178,0.456248886714718,6391
NA,0.000246136845089495,12.6246076491611,10837
NA,0.00477795971091837,2.01257644762409,7633
NA,0.00758459537522867,2.77102312156069,6532
NA,0.00216407935833558,-1.97490265681658,9035
NA,0.00318181007634848,-0.575073209631457,8427
NA,0.00231625785352662,-2.34303509675564,8943
NA,0.00142800022382289,-4.01102914758536,9624
NA,0.00414546335814521,0.484171278191683,7957
NA,0.00413724326295778,0.532483506133788,7964
NA,0.00368845450924709,0.664111046630137,8182
NA,0.00152444747742265,-3.29874122612876,9534
NA,0.0013880606344901,-4.19374382049153,9652
NA,0.00233034099452198,-2.37411016379794,8932
NA,0.00465962450252846,1.86796354716001,7691
NA,0.00265972640365362,-1.6109073860338,8718
NA,0.00857827715342864,0.802276967712727,6177
NA,0.000458311666734517,-9.80211343040072,10551
NA,0.00442200074205175,2.82220182146517,7812
NA,0.00798924845643342,0.373166261727615,6371
NA,0.0012189925997518,-4.73439191475031,9779
NA,0.00560947983758524,3.78132470387745,7305
NA,0.0020653138961643,-3.36516169814874,9108
NA,0.00127531650243327,-3.68201930808563,9734
NA,0.00753307864302769,2.79521870178725,6549
NA,0.00895045359153301,0.72545055409049,6062
NA,0.00374462775886059,0.967196199359181,8160
NA,0.00665115194628015,3.71939072417037,6876
NA,0.000948406609240919,-5.99313928845042,10064
NA,0.00383969637798145,0.724106720902251,8109
NA,0.00274383644573391,-1.24795825878122,8669
NA,0.00814640038879588,0.556263587049231,6319
NA,0.00448516341391951,2.05959443155917,7779
NA,0.00810064353048801,0.444346538836524,6336
NA,0.00812389509519562,0.469303729978405,6327
NA,0.00794342321110889,0.548662634125239,6397
NA,0.00439831687603146,2.73340586628211,7825
NA,0.00754475158639252,2.80580253292216,6543
NA,0.00629221131559461,3.52617638832715,7027
NA,0.00710182401351631,2.82977874746216,6693
NA,6.24773325398564e-06,-10.270327296215,11501
NA,0.00475316574098542,2.12716744010409,7644
NA,0.00220118885161355,-2.08966695064222,9010
NA,0.00379816537722945,0.775785011063504,8133
NA,0.00612771003274247,3.70516790775292,7093
NA,0.00351797909243032,0.452928877928978,8269
NA,0.00111135424347594,-4.80542354811782,9895
NA,0.00243619472719729,-1.66003326581964,8866
NA,0.0066805558744818,2.83355150930619,6858
NA,0.00417646779678762,0.571665861201923,7940
NA,0.00788195834029466,0.571267889848211,6417
NA,0.00102864644257352,-4.41193138782136,9974
NA,0.00434892741497606,2.13306425976986,7852
NA,0.00984956979984418,1.7537544140116,5782
NA,0.00893051114398986,0.770075748233725,6069
NA,0.00886469060787931,0.801688697928911,6087
NA,0.00175052650272846,-1.29401237462504,9338
NA,0.00130695691565052,-3.98550236593515,9710
NA,0.00653101925039664,3.58224729914918,6925
NA,0.00343516472261399,0.245664326576218,8314
NA,0.00656758127966896,3.57214332401268,6914
NA,0.00320373242488131,-0.688724695356942,8419
NA,0.00187691119266674,-2.19798027325576,9241
NA,0.00782294301316142,0.54266003741444,6443
NA,0.000935949867125601,-6.14836848385418,10071
NA,0.0046677904156968,1.97342615865753,7686
NA,0.00511505459900945,3.32505534744397,7488
NA,0.0358819768112153,-3.59739053526261,1921
NA,0.0809474621899426,-1.91585103756421,518
NA,0.046807922963053,-3.09488839945717,1331
NA,0.0894715663604438,-3.1415975505539,442
NA,0.0946420555864461,-3.4330368837488,396
NA,0.0141000849450938,0.302720567276794,4723
NA,0.0575294939242303,-2.39119255090757,936
NA,0.0903177139954641,-3.1542572086596,435
NA,0.0596291513019241,-2.58052266320163,875
NA,0.0510953261773102,-3.80587180791597,1165
NA,0.096115001081489,-3.6028712507322,384
NA,0.0508000740571879,-3.78971860001638,1178
NA,0.070981357190758,-3.86143495947612,654
NA,0.0615370061760768,-3.25742222814256,832
NA,0.0192632214399055,-0.91066624548294,3745
NA,0.0909842473361641,-3.26536113872916,430
NA,0.0321478960919194,-3.43851183612592,2208
NA,0.0137853580177762,0.36143110273844,4797
NA,0.0395128647354431,-2.9266538815412,1696
NA,0.0959053284232505,-3.50870055116888,386
NA,0.0900585384457372,-3.14191369345974,439
NA,0.072352306554094,-1.50687244873717,631
NA,0.0676456132391468,-3.16617933442123,702
NA,0.0994842798961326,-3.79489754548486,360
NA,0.069013521920424,-3.65175416779276,681
NA,0.0737677421350963,-1.50585804508698,612
NA,0.058965942224022,-2.53310895961855,900
NA,0.0634727818402462,-2.78605318325182,783
NA,0.0360243763565086,-3.61366953629276,1915
NA,0.0232402282580733,-1.44025566378238,3171
NA,0.0966721809282899,-3.59200057155392,378
NA,0.0912069140607491,-3.29560505606897,426
NA,0.0721634750580415,-1.4337367975761,633
NA,0.081592067591846,-1.89776719534513,512
NA,0.0122152316058055,0.292322478076846,5128
NA,0.0530016373982653,-3.8683996542628,1085
NA,0.0782613583770581,-2.26681902110045,554
NA,0.0294767142250203,-3.07049755939473,2455
NA,0.0386362906871364,-2.8815336726676,1753
NA,0.0308463206817396,-3.4586191738817,2327
NA,0.022852002014406,-1.43325846509225,3219
NA,0.0473091702233069,-3.10174819782774,1304
NA,0.04723518936662,-3.12055838874205,1310
NA,0.0431960905832239,-3.34513267642593,1508
