"cluster","n","agri_1990","foret_1990","agri_2012","foret_2012","d_agri","d_foret","n_prod","mean_prod_1990","mean_prod_2012","mean_d_prod","median_d_prod"
"1",4287,20.7053588237987,4.18915183152123,20.0600743999781,3.93795645635175,-0.645284423820638,-0.251195375169477,2627,3.69131909967471,2.50622265487921,-0.0206099811748542,-0.1076285911053
"2",995,77.6592076830147,2.36562550559294,34.3305746713321,2.6802978140943,-43.3286330116827,0.314672308501358,720,1.97732729051521,2.00036324774091,-0.0906358613177522,-0.120485799784765
"3",21488,86.376782017648,5.81827243451114,83.8331688454873,5.81372281322335,-2.54361317216074,-0.00454962128779351,17596,2.2234890402816,2.36238302514555,0.0606984041896521,-0.0788847192971646
"4",676,67.1837350502607,15.9018558549261,44.7256352232993,40.0819968176149,-22.4580998269614,24.1801409626887,436,1.81529935014762,1.89716398093772,0.000617567425665168,-0.0796326284365615
"5",6123,27.3757082339333,67.9303577552309,27.1255793905672,66.6071498053389,-0.250128843366067,-1.32320794989191,3719,2.0733330343971,2.22751455868177,0.101791667383354,-0.0782423188291699
"6",891,37.070206011309,43.5836422564567,59.2801884418781,19.1854176873244,22.2099824305691,-24.3982245691323,622,1.9718889335411,2.08701387440269,-0.0167373629456085,-0.0923897221884775
