"insee","nom","pixels_total_1990","pixels_total_2000","pixels_total_2012","agri_1990","agri_2000","agri_2012","foret_1990","foret_2000","foret_2012","agri_adj_foret_1990","agri_adj_foret_2000","agri_adj_foret_2012","diff_agri_12_90","diff_foret_12_90","agri_to_foret_90_12","foret_to_agri_90_12","diff_agri_00_90","diff_foret_00_90","agri_to_foret_90_00","foret_to_agri_90_00","agri_to_foret_00_12","foret_to_agri_00_12","diff_agri_12_00","diff_foret_12_00"
"01001","L'Abergement-Clémenciat",445,365,332,383,303,272,0,0,0,0,0,0,-111,0,0,0,-80,0,0,0,0,0,-31,0
"01002","L'Abergement-de-Varey",344,344,344,339,339,339,5,5,5,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0
"01004","Ambérieu-en-Bugey",1312,1312,1380,478,448,329,117,117,169,0,0,0,-149,52,0,0,-30,0,0,0,0,0,-119,52
"01005","Ambérieux-en-Dombes",805,637,634,691,528,525,0,0,0,0,0,0,-166,0,0,0,-163,0,0,0,0,0,-3,0
"01006","Ambléon",194,194,195,138,138,139,23,23,23,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"01007","Ambronay",1607,1627,1621,949,924,884,268,268,280,81,81,81,-65,12,0,0,-25,0,0,0,0,0,-40,12
"01008","Ambutrix",274,186,188,181,145,118,53,0,0,0,0,0,-63,-53,0,0,-36,-53,0,0,0,0,-27,0
"01009","Andert-et-Condon",271,266,278,271,266,278,0,0,0,0,0,0,7,0,0,0,-5,0,0,0,0,0,12,0
"01010","Anglefort",914,914,929,365,365,382,402,402,394,24,24,24,17,-8,0,0,0,0,0,0,0,0,17,-8
"01011","Apremont",1617,1617,1617,495,495,506,1096,1096,1085,269,269,280,11,-11,0,11,0,0,0,0,0,11,11,-11
"01012","Aranc",1360,1361,1335,805,805,823,555,556,512,163,165,136,18,-43,0,13,0,1,0,0,0,13,18,-44
"01013","Arandas",719,719,723,349,349,354,370,370,369,60,60,60,5,-1,0,0,0,0,0,0,0,0,5,-1
"01014","Arbent",2108,2110,2133,85,85,49,1706,1699,1691,60,60,42,-36,-15,0,0,0,-7,0,0,0,0,-36,-8
"01015","Arboys en Bugey",826,793,824,631,598,598,158,158,158,3,3,3,-33,0,0,0,-33,0,0,0,0,0,0,0
"01016","Arbigny",1098,1125,1100,1046,1073,1049,0,0,0,0,0,0,3,0,0,0,27,0,0,0,0,0,-24,0
"01017","Argis",412,412,412,268,268,266,91,91,88,8,8,8,-2,-3,0,2,0,0,0,0,0,2,-2,-3
"01019","Armix",251,251,250,245,245,244,6,6,6,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0
"01021","Ars-sur-Formans",156,141,143,95,80,76,0,0,0,0,0,0,-19,0,0,0,-15,0,0,0,0,0,-4,0
"01022","Artemare",329,324,324,137,131,104,121,121,120,50,47,39,-33,-1,0,0,-6,0,0,0,0,0,-27,-1
"01023","Asnières-sur-Saône",460,268,268,460,268,268,0,0,0,0,0,0,-192,0,0,0,-192,0,0,0,0,0,0,0
"01024","Attignat",1633,1465,1441,1399,1224,1142,0,0,0,0,0,0,-257,0,0,0,-175,0,0,0,0,0,-82,0
"01025","Bâgé-Dommartin",3327,3185,3173,3198,3048,2909,0,0,0,0,0,0,-289,0,0,0,-150,0,0,0,0,0,-139,0
"01026","Bâgé-le-Châtel",85,85,85,36,36,32,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,-4,0
"01027","Balan",876,746,787,210,79,73,299,299,333,11,0,0,-137,34,0,0,-131,0,0,0,0,0,-6,34
"01028","Baneins",265,248,236,237,220,208,0,0,0,0,0,0,-29,0,0,0,-17,0,0,0,0,0,-12,0
"01029","Beaupont",968,903,895,899,807,794,42,42,41,21,21,21,-105,-1,0,1,-92,0,0,0,0,1,-13,-1
"01030","Beauregard",55,75,101,1,21,46,0,0,0,0,0,0,45,0,0,0,20,0,0,0,0,0,25,0
"01031","Bellignat",825,825,825,99,65,56,536,536,536,51,51,48,-43,0,0,0,-34,0,0,0,0,0,-9,0
"01032","Béligneux",753,645,674,241,151,162,260,288,263,0,0,11,-79,3,0,0,-90,28,0,0,0,0,11,-25
"01033","Valserhône",4649,4699,4747,1256,1334,1295,2586,2581,2564,234,239,245,39,-22,1,22,78,-5,0,13,1,9,-39,-17
"01034","Belley",1763,1536,1578,1361,1105,993,41,31,32,15,15,15,-368,-9,1,10,-256,-10,0,10,1,0,-112,1
"01035","Belleydoux",1854,1854,1853,349,384,386,1465,1430,1427,182,214,213,37,-38,2,39,35,-35,0,35,2,4,2,-3
"01036","Valromey-sur-Séran",4485,4569,4606,2772,2817,2798,1692,1716,1716,155,139,135,26,24,1,0,45,24,1,0,0,0,-19,0
"01037","Bénonces",732,732,739,358,358,364,347,347,347,34,34,34,6,0,0,0,0,0,0,0,0,0,6,0
"01038","Bény",1062,968,861,1022,925,818,9,9,9,1,1,1,-204,0,0,0,-97,0,0,0,0,0,-107,0
"01040","Béréziat",599,553,553,562,511,504,0,5,5,0,0,0,-58,5,0,0,-51,5,0,0,0,0,-7,0
"01041","Bettant",112,109,109,70,66,66,0,0,0,0,0,0,-4,0,0,0,-4,0,0,0,0,0,0,0
"01042","Bey",156,141,117,147,132,82,0,0,0,0,0,0,-65,0,0,0,-15,0,0,0,0,0,-50,0
"01043","Beynost",621,422,465,213,3,28,5,0,2,11,0,1,-185,-3,0,0,-210,-5,0,0,0,0,25,2
"01044","Billiat",648,764,787,295,462,476,324,273,274,29,28,28,181,-50,0,19,167,-51,0,19,0,0,14,1
"01045","Birieux",340,266,243,340,266,243,0,0,0,0,0,0,-97,0,0,0,-74,0,0,0,0,0,-23,0
"01046","Biziat",949,792,782,878,721,706,0,0,0,0,0,0,-172,0,0,0,-157,0,0,0,0,0,-15,0
"01047","Blyes",180,202,222,0,0,0,26,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01049","La Boisse",381,370,441,59,38,66,0,0,0,0,0,0,7,0,0,0,-21,0,0,0,0,0,28,0
"01050","Boissey",672,609,609,672,609,573,0,0,0,0,0,0,-99,0,0,0,-63,0,0,0,0,0,-36,0
"01051","Bolozon",244,194,171,208,165,142,36,29,29,27,11,11,-66,-7,1,0,-43,-7,1,0,0,0,-23,0
"01052","Bouligneux",1224,689,693,1210,675,679,0,0,0,0,0,0,-531,0,0,0,-535,0,0,0,0,0,4,0
"01053","Bourg-en-Bresse",1750,1856,1894,354,424,293,188,180,176,2,19,18,-61,-12,0,0,70,-8,0,0,0,0,-131,-4
"01054","Bourg-Saint-Christophe",499,260,268,401,162,164,0,0,0,0,0,0,-237,0,0,0,-239,0,0,0,0,0,2,0
"01056","Boyeux-Saint-Jérôme",624,624,614,580,580,570,44,44,44,11,11,11,-10,0,0,0,0,0,0,0,0,0,-10,0
"01057","Boz",673,673,672,628,628,613,0,0,0,0,0,0,-15,0,0,0,0,0,0,0,0,0,-15,0
"01058","Brégnier-Cordon",440,326,364,360,246,265,0,0,0,0,0,0,-95,0,0,0,-114,0,0,0,0,0,19,0
"01060","Brénod",2244,2244,2243,753,753,765,1442,1442,1426,284,284,291,12,-16,1,15,0,0,0,0,1,15,12,-16
"01061","Brens",399,399,399,307,307,289,0,0,0,0,0,0,-18,0,0,0,0,0,0,0,0,0,-18,0
"01062","Bressolles",275,274,275,225,211,206,0,0,0,0,0,0,-19,0,0,0,-14,0,0,0,0,0,-5,0
"01063","Brion",409,408,436,97,97,119,253,244,226,47,45,44,22,-27,0,11,0,-9,0,0,0,10,22,-18
"01064","Briord",593,479,501,552,422,388,0,0,19,0,0,16,-164,19,19,0,-130,0,0,0,19,0,-34,19
"01065","Buellas",599,482,480,432,333,310,0,0,0,0,0,0,-122,0,0,0,-99,0,0,0,0,0,-23,0
"01066","La Burbanche",270,270,308,197,197,231,73,73,77,4,4,16,34,4,0,0,0,0,0,0,0,0,34,4
"01067","Ceignes",735,735,735,344,344,345,332,332,331,161,161,161,1,-1,0,0,0,0,0,0,0,0,1,-1
"01068","Cerdon",503,503,514,332,339,357,134,136,119,44,50,50,25,-15,2,50,7,2,2,0,0,50,18,-17
"01069","Certines",1058,841,944,744,497,498,189,189,230,10,5,14,-246,41,0,0,-247,0,0,0,0,0,1,41
"01071","Cessy",410,442,470,225,240,222,0,0,0,0,0,0,-3,0,0,0,15,0,0,0,0,0,-18,0
"01072","Ceyzériat",827,827,861,376,376,382,215,215,216,47,47,58,6,1,1,0,0,0,0,0,1,0,6,1
"01073","Ceyzérieu",1173,1213,1145,803,844,821,345,344,261,111,111,94,18,-84,0,0,41,-1,0,0,0,0,-23,-83
"01074","Chalamont",1339,883,895,1266,806,780,0,0,0,0,0,0,-486,0,0,0,-460,0,0,0,0,0,-26,0
"01075","Chaleins",181,255,283,139,209,219,0,0,0,0,0,0,80,0,0,0,70,0,0,0,0,0,10,0
"01076","Chaley",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01077","Challes-la-Montagne",513,501,482,267,255,230,215,215,221,54,54,55,-37,6,1,0,-12,0,0,0,1,0,-25,6
"01078","Challex",195,214,206,119,138,113,30,30,30,6,6,7,-6,0,0,0,19,0,0,0,0,0,-25,0
"01079","Champagne-en-Valromey",991,1219,1247,917,1142,1149,46,46,47,31,31,31,232,1,1,0,225,0,0,0,1,0,7,1
"01080","Champdor-Corcelles",2960,2960,2963,1344,1203,1274,1557,1693,1553,153,268,152,-70,-4,1,1,-141,136,136,0,1,107,71,-140
"01081","Champfromier",2362,2365,2320,293,290,236,2019,2022,2023,127,125,97,-57,4,2,4,-3,3,0,0,2,4,-54,1
"01082","Chanay",520,522,598,200,197,267,272,274,274,20,20,20,67,2,0,0,-3,2,0,0,0,0,70,0
"01083","Chaneins",441,399,423,393,351,346,0,0,0,0,0,0,-47,0,0,0,-42,0,0,0,0,0,-5,0
"01084","Chanoz-Châtenay",713,682,618,713,682,576,0,0,0,0,0,0,-137,0,0,0,-31,0,0,0,0,0,-106,0
"01085","La Chapelle-du-Châtelard",174,511,490,174,511,490,0,0,0,0,0,0,316,0,0,0,337,0,0,0,0,0,-21,0
"01087","Charix",1593,1593,1588,388,388,407,1132,1132,1131,128,128,118,19,-1,1,1,0,0,0,0,1,1,19,-1
"01088","Charnoz-sur-Ain",341,268,232,296,213,172,0,0,0,0,0,0,-124,0,0,0,-83,0,0,0,0,0,-41,0
"01089","Château-Gaillard",558,367,393,214,32,41,11,11,11,8,0,0,-173,0,0,0,-182,0,0,0,0,0,9,0
"01090","Châtenay",821,563,570,821,563,570,0,0,0,0,0,0,-251,0,0,0,-258,0,0,0,0,0,7,0
"01092","Châtillon-la-Palud",705,657,643,578,530,503,14,14,14,9,9,9,-75,0,0,0,-48,0,0,0,0,0,-27,0
"01093","Châtillon-sur-Chalaronne",1355,1132,1128,1159,868,792,0,0,0,0,0,0,-367,0,0,0,-291,0,0,0,0,0,-76,0
"01094","Chavannes-sur-Reyssouze",923,960,938,923,960,938,0,0,0,0,0,0,15,0,0,0,37,0,0,0,0,0,-22,0
"01095","Nivigne et Suran",1815,1904,1818,869,997,908,920,881,880,229,246,241,39,-40,0,1,128,-39,0,0,0,1,-89,-1
"01096","Chaveyriat",1392,1441,1429,1328,1377,1354,0,0,0,0,0,0,26,0,0,0,49,0,0,0,0,0,-23,0
"01098","Chazey-Bons",624,585,660,541,509,571,0,0,8,0,0,0,30,8,0,0,-32,0,0,0,0,0,62,8
"01099","Chazey-sur-Ain",542,414,451,243,102,85,139,149,148,12,9,2,-158,9,0,0,-141,10,0,6,0,0,-17,-1
"01100","Cheignieu-la-Balme",159,159,169,135,135,137,0,0,8,0,0,0,2,8,0,0,0,0,0,0,0,0,2,8
"01101","Chevillard",732,732,732,235,235,234,497,497,498,106,106,106,-1,1,1,0,0,0,0,0,1,0,-1,1
"01102","Chevroux",1276,1148,1097,1239,1111,1052,0,0,0,0,0,0,-187,0,0,0,-128,0,0,0,0,0,-59,0
"01103","Chevry",355,351,400,269,265,281,0,0,0,0,0,0,12,0,0,0,-4,0,0,0,0,0,16,0
"01104","Chézery-Forens",2720,2778,2756,478,608,592,2212,2140,2136,50,67,75,114,-76,9,126,130,-72,0,130,10,0,-16,-4
"01105","Civrieux",205,208,234,155,149,174,0,0,0,0,0,0,19,0,0,0,-6,0,0,0,0,0,25,0
"01106","Cize",346,309,312,159,115,113,161,168,171,51,34,34,-46,10,13,0,-44,7,13,0,0,0,-2,3
"01107","Cleyzieu",342,302,293,342,251,251,0,51,42,0,13,13,-91,42,42,0,-91,51,51,0,0,0,0,-9
"01108","Coligny",1164,1140,1140,1065,1014,1014,0,27,27,0,0,0,-51,27,0,0,-51,27,0,0,0,0,0,0
"01109","Collonges",889,841,877,235,187,161,617,617,632,22,22,18,-74,15,1,0,-48,0,0,0,1,0,-26,15
"01110","Colomieu",276,250,250,226,200,200,50,50,50,10,10,10,-26,0,0,0,-26,0,0,0,0,0,0,0
"01111","Conand",490,484,494,242,284,295,248,200,199,16,18,18,53,-49,0,42,42,-48,0,42,0,0,11,-1
"01112","Condamine",530,530,530,198,198,161,331,331,329,44,44,34,-37,-2,0,0,0,0,0,0,0,0,-37,-2
"01113","Condeissiat",1551,1801,1784,1428,1684,1666,0,0,0,0,0,0,238,0,0,0,256,0,0,0,0,0,-18,0
"01114","Confort",710,723,744,311,317,319,369,374,393,0,0,0,8,24,0,0,6,5,0,0,0,0,2,19
"01115","Confrançon",832,812,792,744,723,687,0,0,0,0,0,0,-57,0,0,0,-21,0,0,0,0,0,-36,0
"01116","Contrevoz",549,549,514,481,501,467,0,0,0,0,0,0,-14,0,0,0,20,0,0,0,0,0,-34,0
"01117","Conzieu",321,321,321,237,237,237,60,60,60,44,44,44,0,0,0,0,0,0,0,0,0,0,0,0
"01118","Corbonod",1352,1407,1413,696,693,692,617,659,667,14,14,14,-4,50,0,0,-3,42,0,0,0,0,-1,8
"01121","Corlier",454,454,453,244,244,243,210,210,210,57,57,56,-1,0,1,0,0,0,0,0,1,0,-1,0
"01123","Cormoranche-sur-Saône",831,715,602,726,533,459,0,77,28,0,79,16,-267,28,28,0,-193,77,77,0,0,1,-74,-49
"01124","Cormoz",1214,1082,1088,1183,1051,1027,0,0,0,0,0,0,-156,0,0,0,-132,0,0,0,0,0,-24,0
"01125","Corveissiat",1483,1481,1496,803,801,800,653,653,656,363,363,355,-3,3,1,3,-2,0,0,0,1,3,-1,3
"01127","Courmangoux",1047,1012,1009,542,511,463,477,473,488,205,197,186,-79,11,22,4,-31,-4,7,4,15,0,-48,15
"01128","Courtes",359,354,352,347,346,344,0,0,0,0,0,0,-3,0,0,0,-1,0,0,0,0,0,-2,0
"01129","Crans",752,355,356,752,355,356,0,0,0,0,0,0,-396,0,0,0,-397,0,0,0,0,0,1,0
"01130","Bresse Vallons",1523,1444,1458,1380,1283,1271,0,0,0,0,0,0,-109,0,0,0,-97,0,0,0,0,0,-12,0
"01133","Cressin-Rochefort",386,387,382,192,195,194,194,192,188,25,25,28,2,-6,2,0,3,-2,0,0,2,0,-1,-4
"01134","Crottet",1247,1247,1247,1031,1037,1028,0,0,0,0,0,0,-3,0,0,0,6,0,0,0,0,0,-9,0
"01135","Crozet",2074,2024,2080,224,171,176,1675,1673,1668,10,10,10,-48,-7,0,0,-53,-2,0,0,0,0,5,-5
"01136","Cruzilles-lès-Mépillat",905,616,592,876,587,545,0,0,0,0,0,0,-331,0,0,0,-289,0,0,0,0,0,-42,0
"01138","Culoz-Béon",1148,1121,1140,250,269,240,597,559,603,4,19,23,-10,6,49,0,19,-38,25,0,24,0,-29,44
"01139","Curciat-Dongalon",1286,1351,1350,1241,1306,1304,0,0,0,0,0,0,63,0,0,0,65,0,0,0,0,0,-2,0
"01140","Curtafond",794,701,690,739,646,627,0,0,0,0,0,0,-112,0,0,0,-93,0,0,0,0,0,-19,0
"01141","Cuzieu",300,300,300,300,300,232,0,0,0,0,0,0,-68,0,0,0,0,0,0,0,0,0,-68,0
"01142","Dagneux",461,461,483,262,213,171,0,0,0,0,0,0,-91,0,0,0,-49,0,0,0,0,0,-42,0
"01143","Divonne-les-Bains",2319,2470,2413,362,482,457,1374,1364,1313,46,44,36,95,-61,1,10,120,-10,0,10,2,1,-25,-51
"01145","Dompierre-sur-Veyle",1633,1435,1261,1595,1397,1216,0,0,0,0,0,0,-379,0,0,0,-198,0,0,0,0,0,-181,0
"01146","Dompierre-sur-Chalaronne",126,99,84,98,71,50,0,0,0,0,0,0,-48,0,0,0,-27,0,0,0,0,0,-21,0
"01147","Domsure",842,825,830,842,788,765,0,35,36,0,0,0,-77,36,0,0,-54,35,0,0,0,0,-23,1
"01148","Dortan",869,869,861,470,470,488,269,269,270,96,96,93,18,1,2,1,0,0,0,0,2,1,18,1
"01149","Douvres",329,329,335,266,258,249,1,1,3,0,0,0,-17,2,0,0,-8,0,0,0,0,0,-9,2
"01150","Drom",704,711,720,376,376,371,301,308,322,92,92,93,-5,21,3,0,0,7,0,0,3,0,-5,14
"01151","Druillat",1373,1126,1122,1119,871,847,59,60,71,12,12,12,-272,12,0,0,-248,1,0,0,0,0,-24,11
"01152","Échallon",2909,2900,2864,508,502,495,2328,2325,2297,291,291,277,-13,-31,22,8,-6,-3,11,5,11,3,-7,-28
"01153","Échenevex",1671,1641,1640,465,414,380,1049,1049,1049,19,19,19,-85,0,0,0,-51,0,0,0,0,0,-34,0
"01155","Évosges",797,790,774,327,346,348,470,444,426,87,86,75,21,-44,0,20,19,-26,0,19,0,1,2,-18
"01156","Faramans",209,135,250,169,95,208,0,0,0,0,0,0,39,0,0,0,-74,0,0,0,0,0,113,0
"01157","Fareins",394,444,409,187,237,188,0,0,0,0,0,0,1,0,0,0,50,0,0,0,0,0,-49,0
"01158","Farges",924,961,1102,231,278,408,648,638,637,35,39,40,177,-11,0,11,47,-10,0,10,0,1,130,-1
"01159","Feillens",1415,1415,1415,1175,1175,1081,0,0,0,0,0,0,-94,0,0,0,0,0,0,0,0,0,-94,0
"01160","Ferney-Voltaire",376,348,369,199,157,148,0,0,0,0,0,0,-51,0,0,0,-42,0,0,0,0,0,-9,0
"01162","Flaxieu",152,152,152,114,114,114,38,38,38,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0
"01163","Foissiat",2267,2203,2341,2172,2125,2255,0,0,0,0,0,0,83,0,0,0,-47,0,0,0,0,0,130,0
"01165","Francheleins",541,453,501,487,399,414,0,0,0,0,0,0,-73,0,0,0,-88,0,0,0,0,0,15,0
"01166","Frans",156,171,182,16,18,20,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,2,0
"01167","Garnerans",852,760,766,778,686,676,0,0,9,0,0,15,-102,9,9,0,-92,0,0,0,0,0,-10,9
"01169","Genouilleux",239,239,190,206,206,153,0,0,0,0,0,0,-53,0,0,0,0,0,0,0,0,0,-53,0
"01170","Béard-Géovreissiat",357,371,384,127,127,116,187,168,161,35,35,39,-11,-26,0,5,0,-19,0,0,0,5,-11,-7
"01171","Géovreisset",375,375,375,26,26,26,302,302,284,23,23,23,0,-18,0,0,0,0,0,0,0,0,0,-18
"01173","Gex",3191,3200,3226,699,662,671,2115,2110,2112,104,100,100,-28,-3,1,0,-37,-5,0,0,0,0,9,2
"01174","Giron",1017,1037,1037,235,244,216,782,793,789,118,128,112,-19,7,4,16,9,11,0,9,4,8,-28,-4
"01175","Gorrevod",534,567,548,490,523,504,0,0,0,0,0,0,14,0,0,0,33,0,0,0,0,0,-19,0
"01177","Grand-Corent",630,630,629,109,109,108,488,488,487,47,47,45,-1,-1,0,0,0,0,0,0,0,0,-1,-1
"01179","Grièges",1434,1357,1271,1250,1167,1070,0,0,0,0,0,0,-180,0,0,0,-83,0,0,0,0,0,-97,0
"01180","Grilly",381,473,475,283,374,366,47,47,47,18,18,18,83,0,0,0,91,0,0,0,0,0,-8,0
"01181","Groissiat",678,678,677,203,200,179,395,395,389,84,84,71,-24,-6,0,2,-3,0,0,0,0,2,-21,-6
"01183","Guéreins",376,372,327,270,260,197,0,0,0,0,0,0,-73,0,0,0,-10,0,0,0,0,0,-63,0
"01184","Hautecourt-Romanèche",1314,1364,1431,444,491,513,781,784,804,109,107,106,69,23,4,0,47,3,3,0,3,0,22,20
"01185","Plateau d'Hauteville",7925,7939,8055,3141,3140,3248,4423,4436,4399,579,579,573,107,-24,22,14,-1,13,0,0,22,14,108,-37
"01187","Haut Valromey",9407,9453,9429,2324,2732,2701,7057,6668,6673,336,531,552,377,-384,13,399,408,-389,11,400,2,0,-31,5
"01188","Illiat",751,624,555,720,593,525,0,0,0,0,0,0,-195,0,0,0,-127,0,0,0,0,0,-68,0
"01189","Injoux-Génissiat",1243,1624,1636,529,927,935,576,559,545,65,170,170,406,-31,1,26,398,-17,0,17,1,9,8,-14
"01190","Innimond",790,790,773,517,517,454,273,273,319,55,55,73,-63,46,63,0,0,0,0,0,63,0,-63,46
"01191","Izenave",1023,925,927,429,331,307,594,594,594,40,15,15,-122,0,0,0,-98,0,0,0,0,0,-24,0
"01192","Izernore",1592,1822,1846,685,898,918,769,766,753,314,380,395,233,-16,1,16,213,-3,0,0,1,13,20,-13
"01193","Izieu",274,274,274,212,212,212,59,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01194","Jassans-Riottier",407,344,424,142,79,142,0,0,0,0,0,0,0,0,0,0,-63,0,0,0,0,0,63,0
"01195","Jasseron",1316,1349,1400,256,256,287,857,886,885,107,107,109,31,28,0,2,0,29,0,0,0,2,31,-1
"01196","Jayat",1093,1067,1035,955,942,899,0,0,0,0,0,0,-56,0,0,0,-13,0,0,0,0,0,-43,0
"01197","Journans",121,121,121,102,102,94,0,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,0,-8,0
"01198","Joyeux",496,474,474,496,474,474,0,0,0,0,0,0,-22,0,0,0,-22,0,0,0,0,0,0,0
"01199","Jujurieux",1019,975,977,751,707,671,204,204,224,16,16,32,-80,20,26,0,-44,0,0,0,26,0,-36,20
"01200","Labalme",817,817,821,284,284,251,533,533,544,119,119,119,-33,11,1,0,0,0,0,0,1,0,-33,11
"01202","Lagnieu",1538,1147,1274,1123,707,715,59,59,136,0,0,0,-408,77,0,0,-416,0,0,0,0,0,8,77
"01203","Laiz",886,777,714,803,680,590,0,0,0,0,0,0,-213,0,0,0,-123,0,0,0,0,0,-90,0
"01204","Le Poizat-Lalleyriat",2901,2901,2914,555,555,581,2209,2209,2196,202,202,221,26,-13,0,8,0,0,0,0,0,8,26,-13
"01206","Lantenay",601,601,639,336,336,326,229,229,277,23,23,41,-10,48,10,0,0,0,0,0,10,0,-10,48
"01207","Lapeyrouse",490,426,420,490,418,411,0,0,0,0,0,0,-79,0,0,0,-72,0,0,0,0,0,-7,0
"01208","Lavours",154,231,233,0,51,83,107,107,79,0,0,0,83,-28,0,0,51,0,0,0,0,0,32,-28
"01209","Léaz",542,631,558,394,458,426,148,148,77,0,0,0,32,-71,0,0,64,0,0,0,0,0,-32,-71
"01210","Lélex",1553,1553,1553,184,184,183,1334,1334,1334,39,39,39,-1,0,0,0,0,0,0,0,0,0,-1,0
"01211","Lent",1491,1925,1885,1382,1784,1753,49,77,48,8,11,7,371,-1,0,0,402,28,0,0,0,0,-31,-29
"01212","Lescheroux",985,1336,1344,921,1274,1252,34,32,32,23,36,36,331,-2,0,2,353,-2,0,2,0,0,-22,0
"01213","Leyment",404,245,254,131,102,104,149,0,0,4,0,0,-27,-149,0,0,-29,-149,0,0,0,0,2,0
"01214","Leyssard",730,735,735,362,367,357,368,368,378,197,198,190,-5,10,10,0,5,0,0,0,10,0,-10,10
"01215","Surjoux-Lhopital",585,586,635,244,245,284,341,341,351,122,123,139,40,10,19,16,1,0,0,0,19,16,39,10
"01216","Lhuis",1059,931,931,846,718,741,115,115,114,0,0,0,-105,-1,0,0,-128,0,0,0,0,0,23,-1
"01219","Lompnas",463,463,464,428,428,429,35,35,35,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"01224","Loyettes",1027,458,379,663,49,49,144,126,126,6,6,6,-614,-18,0,0,-614,-18,0,0,0,0,0,0
"01225","Lurcy",308,97,105,270,47,54,0,0,0,0,0,0,-216,0,0,0,-223,0,0,0,0,0,7,0
"01227","Magnieu",547,539,574,435,444,476,112,95,95,19,19,21,41,-17,0,17,9,-17,0,17,0,0,32,0
"01228","Maillat",993,993,992,449,452,443,465,465,461,195,195,190,-6,-4,1,4,3,0,0,0,1,4,-9,-4
"01229","Malafretaz",834,631,642,618,518,518,0,0,0,0,0,0,-100,0,0,0,-100,0,0,0,0,0,0,0
"01230","Mantenay-Montlin",434,760,760,408,728,728,0,0,0,0,0,0,320,0,0,0,320,0,0,0,0,0,0,0
"01231","Manziat",1224,1224,1225,1040,1025,1020,0,0,0,0,0,0,-20,0,0,0,-15,0,0,0,0,0,-5,0
"01232","Marboz",2627,2831,2782,2501,2701,2636,7,7,7,0,8,8,135,0,0,0,200,0,0,0,0,0,-65,0
"01233","Marchamp",533,549,553,429,445,450,104,104,103,11,11,11,21,-1,0,0,16,0,0,0,0,0,5,-1
"01234","Marignieu",226,226,227,226,226,227,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"01235","Marlieux",444,353,351,402,311,300,0,0,0,0,0,0,-102,0,0,0,-91,0,0,0,0,0,-11,0
"01236","Marsonnas",940,920,891,906,841,804,0,45,29,0,0,0,-102,29,0,0,-65,45,0,0,0,0,-37,-16
"01237","Martignat",1298,1298,1298,286,271,266,935,935,935,124,117,116,-20,0,1,1,-15,0,0,0,1,1,-5,0
"01238","Massieux",181,181,193,45,35,18,0,0,0,0,0,0,-27,0,0,0,-10,0,0,0,0,0,-17,0
"01239","Massignieu-de-Rives",289,286,296,166,166,198,96,93,69,10,10,0,32,-27,0,0,0,-3,0,0,0,0,32,-24
"01240","Matafelon-Granges",1175,1157,1165,517,501,507,630,628,625,194,192,188,-10,-5,0,3,-16,-2,0,2,0,1,6,-3
"01241","Meillonnas",1079,1079,1076,392,392,378,633,633,626,101,101,99,-14,-7,3,0,0,0,0,0,3,0,-14,-7
"01242","Mérignat",177,177,177,177,177,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01243","Messimy-sur-Saône",542,468,415,427,353,293,0,0,0,0,0,0,-134,0,0,0,-74,0,0,0,0,0,-60,0
"01244","Meximieux",750,665,706,444,359,323,0,0,0,0,0,0,-121,0,0,0,-85,0,0,0,0,0,-36,0
"01245","Bohas-Meyriat-Rignat",1498,1498,1513,1262,1262,1278,211,211,210,109,109,108,16,-1,0,1,0,0,0,0,0,1,16,-1
"01246","Mézériat",1440,1310,1350,1302,1170,1161,0,0,0,0,0,0,-141,0,0,0,-132,0,0,0,0,0,-9,0
"01247","Mijoux",2443,2443,2443,467,467,440,1884,1875,1903,256,256,251,-27,19,27,0,0,-9,0,0,27,0,-27,28
"01248","Mionnay",189,184,327,43,38,135,38,0,0,0,0,0,92,-38,0,0,-5,-38,0,0,0,0,97,0
"01249","Miribel",2049,744,782,1479,273,293,122,67,0,28,11,0,-1186,-122,0,67,-1206,-55,0,0,0,67,20,-67
"01250","Misérieux",329,279,281,239,192,193,0,0,0,0,0,0,-46,0,0,0,-47,0,0,0,0,0,1,0
"01252","Mogneneins",489,425,459,418,354,380,0,0,0,0,0,0,-38,0,0,0,-64,0,0,0,0,0,26,0
"01254","Montagnat",830,730,723,657,508,475,44,52,52,42,25,25,-182,8,0,0,-149,8,0,0,0,0,-33,0
"01255","Montagnieu",387,386,395,326,325,288,0,0,33,0,0,23,-38,33,33,0,-1,0,0,0,33,0,-37,33
"01257","Montanges",696,706,720,272,280,287,392,394,400,119,119,120,15,8,0,1,8,2,0,0,0,1,7,6
