"insee","nom","pixels_total_1990","pixels_total_2000","pixels_total_2012","agri_1990","agri_2000","agri_2012","foret_1990","foret_2000","foret_2012","agri_adj_foret_1990","agri_adj_foret_2000","agri_adj_foret_2012","diff_agri_12_90","diff_foret_12_90","agri_to_foret_90_12","foret_to_agri_90_12","diff_agri_00_90","diff_foret_00_90","agri_to_foret_90_00","foret_to_agri_90_00","agri_to_foret_00_12","foret_to_agri_00_12","diff_agri_12_00","diff_foret_12_00"
"79198","Paizay-le-Chapt",211,294,347,126,160,123,51,134,187,0,0,0,-3,136,0,0,34,83,0,0,0,0,-37,53
"79200","Pamplie",579,602,604,551,574,573,0,0,0,0,0,0,22,0,0,0,23,0,0,0,0,0,-1,0
"79201","Pamproux",668,620,666,390,342,346,0,0,0,0,0,0,-44,0,0,0,-48,0,0,0,0,0,4,0
"79202","Parthenay",1224,1228,1237,610,575,540,0,0,0,0,0,0,-70,0,0,0,-35,0,0,0,0,0,-35,0
"79203","Pas-de-Jeu",163,163,187,136,136,155,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,19,0
"79204","Périgné",783,674,712,682,572,599,0,0,0,0,0,0,-83,0,0,0,-110,0,0,0,0,0,27,0
"79207","La Petite-Boissière",496,613,616,461,572,573,0,0,0,0,0,0,112,0,0,0,111,0,0,0,0,0,1,0
"79208","La Peyratte",3044,3793,3759,2890,3622,3534,92,92,92,28,27,27,644,0,0,0,732,0,0,0,0,0,-88,0
"79209","Pierrefitte",1045,1000,1029,1010,965,931,0,0,62,0,0,30,-79,62,62,0,-45,0,0,0,62,0,-34,62
"79210","Le Pin",1321,1244,1232,1247,1170,1119,36,36,35,31,30,31,-128,-1,0,1,-77,0,0,0,0,1,-51,-1
"79213","Pompaire",1090,1084,1083,959,948,863,0,0,0,0,0,0,-96,0,0,0,-11,0,0,0,0,0,-85,0
"79215","Pougne-Hérisson",1044,952,949,1044,952,949,0,0,0,0,0,0,-95,0,0,0,-92,0,0,0,0,0,-3,0
"79216","Prahecq",806,609,651,642,444,441,0,0,0,0,0,0,-201,0,0,0,-198,0,0,0,0,0,-3,0
"79217","Prailles-La Couarde",1345,1290,1321,1231,1147,1152,0,29,55,0,12,0,-79,55,0,0,-84,29,0,0,0,0,5,26
"79218","Pressigny",210,241,242,210,241,242,0,0,0,0,0,0,32,0,0,0,31,0,0,0,0,0,1,0
"79220","Prin-Deyrançon",593,383,380,539,325,306,0,0,0,0,0,0,-233,0,0,0,-214,0,0,0,0,0,-19,0
"79223","Puihardy",94,98,97,94,98,97,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,-1,0
"79225","Reffannes",473,473,435,473,473,408,0,0,0,0,0,0,-65,0,0,0,0,0,0,0,0,0,-65,0
"79226","Le Retail",795,833,794,795,833,794,0,0,0,0,0,0,-1,0,0,0,38,0,0,0,0,0,-39,0
"79229","La Rochénard",91,89,86,48,49,30,0,0,0,0,0,0,-18,0,0,0,1,0,0,0,0,0,-19,0
"79230","Rom",691,676,734,621,606,638,0,0,26,0,0,0,17,26,0,0,-15,0,0,0,0,0,32,26
"79231","Romans",401,358,401,376,333,376,0,0,0,0,0,0,0,0,0,0,-43,0,0,0,0,0,43,0
"79235","Saint-Amand-sur-Sèvre",1987,1962,1923,1929,1904,1852,0,0,0,0,0,0,-77,0,0,0,-25,0,0,0,0,0,-52,0
"79236","Saint-André-sur-Sèvre",1619,1520,1502,1619,1520,1465,0,0,0,0,0,0,-154,0,0,0,-99,0,0,0,0,0,-55,0
"79238","Saint-Aubin-du-Plain",809,806,830,782,779,791,0,0,0,0,0,0,9,0,0,0,-3,0,0,0,0,0,12,0
"79239","Saint-Aubin-le-Cloud",3158,3673,3622,3101,3616,3555,0,0,0,0,0,0,454,0,0,0,515,0,0,0,0,0,-61,0
"79241","Saint-Christophe-sur-Roc",561,563,577,537,539,551,0,0,0,0,0,0,14,0,0,0,2,0,0,0,0,0,12,0
"79242","Voulmentin",2014,1974,2026,1963,1923,1963,0,0,0,0,0,0,0,0,0,0,-40,0,0,0,0,0,40,0
"79243","Saint-Coutant",330,297,289,302,266,256,0,0,0,0,0,0,-46,0,0,0,-36,0,0,0,0,0,-10,0
"79244","Saint-Cyr-la-Lande",372,354,354,372,329,329,0,0,0,0,0,0,-43,0,0,0,-43,0,0,0,0,0,0,0
"79246","Sainte-Eanne",819,762,721,712,679,617,24,0,0,8,0,0,-95,-24,0,0,-33,-24,0,0,0,0,-62,0
"79249","Saint-Gelais",666,760,753,569,604,608,0,0,0,0,0,0,39,0,0,0,35,0,0,0,0,0,4,0
"79250","Sainte-Gemme",678,597,581,678,597,545,0,0,0,0,0,0,-133,0,0,0,-81,0,0,0,0,0,-52,0
"79251","Marcillé",400,444,442,361,407,405,0,0,0,0,0,0,44,0,0,0,46,0,0,0,0,0,-2,0
"79252","Saint-Généroux",328,328,265,276,276,211,0,0,0,0,0,0,-65,0,0,0,0,0,0,0,0,0,-65,0
"79253","Saint-Georges-de-Noisné",1598,1566,1563,1598,1566,1563,0,0,0,0,0,0,-35,0,0,0,-32,0,0,0,0,0,-3,0
"79254","Saint-Georges-de-Rex",564,519,513,512,467,461,0,0,0,0,0,0,-51,0,0,0,-45,0,0,0,0,0,-6,0
"79255","Saint-Germain-de-Longue-Chaume",861,649,656,831,619,619,0,0,0,0,0,0,-212,0,0,0,-212,0,0,0,0,0,0,0
"79256","Saint-Germier",887,609,585,881,603,578,0,0,0,0,0,0,-303,0,0,0,-278,0,0,0,0,0,-25,0
"79257","Saint-Hilaire-la-Palud",2057,1520,1570,1922,1350,1396,0,0,0,0,0,0,-526,0,0,0,-572,0,0,0,0,0,46,0
"79258","Saint-Jacques-de-Thouars",187,160,160,128,94,86,36,36,36,2,2,2,-42,0,0,0,-34,0,0,0,0,0,-8,0
"79259","Saint-Jean-de-Thouars",293,281,295,193,167,166,0,0,0,0,0,0,-27,0,0,0,-26,0,0,0,0,0,-1,0
"79263","Saint-Laurs",451,351,367,382,282,298,0,0,0,0,0,0,-84,0,0,0,-100,0,0,0,0,0,16,0
"79265","Saint-Léger-de-Montbrun",674,623,621,490,464,441,116,91,93,5,0,0,-49,-23,0,0,-26,-25,0,0,0,0,-23,2
"79267","Saint-Lin",819,769,765,819,769,741,0,0,0,0,0,0,-78,0,0,0,-50,0,0,0,0,0,-28,0
"79268","Saint-Loup-Lamairé",1497,1361,1362,1428,1292,1288,0,0,0,0,0,0,-140,0,0,0,-136,0,0,0,0,0,-4,0
"79269","Saint-Maixent-de-Beugné",509,409,409,507,407,407,0,0,0,0,0,0,-100,0,0,0,-100,0,0,0,0,0,0,0
"79270","Saint-Maixent-l'École",474,470,467,90,84,35,0,0,0,0,0,0,-55,0,0,0,-6,0,0,0,0,0,-49,0
"79271","Saint-Marc-la-Lande",770,755,757,745,730,710,0,0,0,0,0,0,-35,0,0,0,-15,0,0,0,0,0,-20,0
"79273","Saint-Martin-de-Bernegoue",714,251,256,681,217,186,0,0,0,0,0,0,-495,0,0,0,-464,0,0,0,0,0,-31,0
"79274","Saint-Martin-de-Mâcon",349,349,342,325,325,318,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,0,-7,0
"79276","Saint-Martin-de-Saint-Maixent",821,801,564,740,720,469,0,0,0,0,0,0,-271,0,0,0,-20,0,0,0,0,0,-251,0
"79277","Saint-Martin-de-Sanzay",1164,1128,1132,1056,1020,1020,0,0,0,0,0,0,-36,0,0,0,-36,0,0,0,0,0,0,0
"79278","Saint-Martin-du-Fouilloux",1641,1599,1460,1460,1418,1279,181,181,181,33,33,0,-181,0,0,0,-42,0,0,0,0,0,-139,0
"79280","Saint Maurice Étusson",3315,3252,3467,2925,2902,3114,390,350,353,80,61,77,189,-37,0,7,-23,-40,0,7,0,0,212,3
"79281","Saint-Maxire",659,608,613,567,516,521,0,0,0,0,0,0,-46,0,0,0,-51,0,0,0,0,0,5,0
"79283","Sainte-Néomaye",415,396,416,292,273,266,0,0,0,0,0,0,-26,0,0,0,-19,0,0,0,0,0,-7,0
"79284","Sainte-Ouenne",464,380,403,400,292,324,0,0,0,0,0,0,-76,0,0,0,-108,0,0,0,0,0,32,0
"79285","Saint-Pardoux-Soutiers",2913,2810,2803,2835,2734,2687,0,0,0,0,0,0,-148,0,0,0,-101,0,0,0,0,0,-47,0
"79286","Saint-Paul-en-Gâtine",1353,1238,1197,1312,1197,1152,0,0,0,0,0,0,-160,0,0,0,-115,0,0,0,0,0,-45,0
"79289","Saint-Pierre-des-Échaubrognes",1689,1634,1589,1640,1585,1523,5,5,5,12,11,11,-117,0,0,0,-55,0,0,0,0,0,-62,0
"79290","Saint-Pompain",434,502,463,355,373,374,0,0,0,0,0,0,19,0,0,0,18,0,0,0,0,0,1,0
"79293","Saint-Rémy",149,167,177,94,94,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79294","Saint-Romans-des-Champs",146,134,134,146,134,134,0,0,0,0,0,0,-12,0,0,0,-12,0,0,0,0,0,0,0
"79295","Saint-Romans-lès-Melle",254,287,290,194,222,213,0,0,0,0,0,0,19,0,0,0,28,0,0,0,0,0,-9,0
"79297","Sainte-Soline",616,655,659,557,590,594,0,0,0,0,0,0,37,0,0,0,33,0,0,0,0,0,4,0
"79298","Saint-Symphorien",987,849,842,872,731,649,0,0,0,0,0,0,-223,0,0,0,-141,0,0,0,0,0,-82,0
"79299","Saint-Varent",1845,1706,1739,1511,1376,1356,10,10,10,13,13,12,-155,0,0,0,-135,0,0,0,0,0,-20,0
"79300","Sainte-Verge",849,871,878,725,741,735,0,0,0,0,0,0,10,0,0,0,16,0,0,0,0,0,-6,0
"79301","Saint-Vincent-la-Châtre",442,355,374,416,329,342,0,0,0,0,0,0,-74,0,0,0,-87,0,0,0,0,0,13,0
"79302","Saivres",1247,1284,1297,1162,1199,1186,0,0,0,0,0,0,24,0,0,0,37,0,0,0,0,0,-13,0
"79303","Salles",120,120,117,82,82,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79304","Sansais",1281,1281,1512,1244,1244,1465,0,0,0,0,0,0,221,0,0,0,0,0,0,0,0,0,221,0
"79306","Saurais",894,861,829,855,822,790,39,39,39,34,19,16,-65,0,0,0,-33,0,0,0,0,0,-32,0
"79307","Sauzé-entre-Bois",2003,1559,1737,1711,1278,1350,0,0,0,0,0,0,-361,0,0,0,-433,0,0,0,0,0,72,0
"79308","Sciecq",92,83,98,64,55,55,0,0,0,0,0,0,-9,0,0,0,-9,0,0,0,0,0,0,0
"79309","Scillé",760,722,741,748,710,723,0,0,0,0,0,0,-25,0,0,0,-38,0,0,0,0,0,13,0
"79310","Secondigné-sur-Belle",981,717,710,980,674,673,1,43,32,0,1,1,-307,31,0,1,-306,42,0,1,0,0,-1,-11
"79311","Secondigny",2669,2515,2459,2502,2344,2241,41,41,41,12,12,12,-261,0,0,0,-158,0,0,0,0,0,-103,0
"79312","Séligné",592,495,495,573,472,472,0,4,4,0,2,2,-101,4,0,0,-101,4,0,0,0,0,0,0
"79313","Sepvret",602,566,570,575,539,542,0,0,0,0,0,0,-33,0,0,0,-36,0,0,0,0,0,3,0
"79316","Soudan",688,798,782,655,765,737,0,0,0,0,0,0,82,0,0,0,110,0,0,0,0,0,-28,0
"79319","Souvigné",1179,1157,1142,1157,1135,1069,0,0,24,0,0,1,-88,24,0,0,-22,0,0,0,0,0,-66,24
"79320","Surin",800,566,552,763,517,515,0,0,0,0,0,0,-248,0,0,0,-246,0,0,0,0,0,-2,0
"79322","Le Tallud",1784,1750,1749,1679,1639,1606,0,0,0,0,0,0,-73,0,0,0,-40,0,0,0,0,0,-33,0
"79326","Thénezay",931,907,939,526,502,513,281,281,297,7,7,7,-13,16,0,0,-24,0,0,0,0,0,11,16
"79329","Thouars",4564,4568,4695,3103,3008,3011,408,426,456,107,121,123,-92,48,20,0,-95,18,18,0,0,0,3,30
"79331","Tourtenay",151,172,172,151,151,151,0,21,21,0,21,21,0,21,0,0,0,21,0,0,0,0,0,0
"79332","Trayes",583,705,705,583,705,705,0,0,0,0,0,0,122,0,0,0,122,0,0,0,0,0,0,0
"79334","Val-du-Mignon",725,741,814,666,683,688,0,0,55,0,0,26,22,55,0,0,17,0,0,0,0,0,5,55
"79335","Vallans",290,228,229,253,194,168,0,0,0,0,0,0,-85,0,0,0,-59,0,0,0,0,0,-26,0
"79336","Vançais",392,392,426,320,320,354,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0
"79337","Le Vanneau-Irleau",1483,1377,1364,1395,1289,1269,0,0,0,0,0,0,-126,0,0,0,-106,0,0,0,0,0,-20,0
"79338","Vanzay",167,180,175,105,112,103,0,0,0,0,0,0,-2,0,0,0,7,0,0,0,0,0,-9,0
"79339","Vasles",3988,3410,3337,3825,3197,3107,83,83,83,10,23,17,-718,0,0,0,-628,0,0,0,0,0,-90,0
"79340","Vausseroux",996,998,997,996,998,997,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,-1,0
"79341","Vautebis",458,448,389,458,448,389,0,0,0,0,0,0,-69,0,0,0,-10,0,0,0,0,0,-59,0
"79342","Vernoux-en-Gâtine",2093,2045,2092,2066,1979,2013,0,39,39,0,38,38,-53,39,5,0,-87,39,5,0,0,0,34,0
"79343","Vernoux-sur-Boutonne",515,414,417,487,403,406,28,11,11,2,3,3,-81,-17,0,27,-84,-17,0,27,0,0,3,0
"79345","Verruyes",1830,1755,1765,1777,1702,1712,0,0,0,0,0,0,-65,0,0,0,-75,0,0,0,0,0,10,0
"79346","Le Vert",195,272,174,130,130,129,65,142,45,0,0,0,-1,-20,0,0,0,77,0,0,0,0,-1,-97
"79347","Viennay",1141,1224,1017,1029,1099,917,0,0,0,0,0,0,-112,0,0,0,70,0,0,0,0,0,-182,0
"79348","Villefollet",518,262,265,478,222,222,0,0,0,0,0,0,-256,0,0,0,-256,0,0,0,0,0,0,0
"79349","Villemain",238,229,230,195,186,186,43,43,44,0,0,0,-9,1,0,0,-9,0,0,0,0,0,0,1
"79350","Villiers-en-Bois",121,191,291,76,58,64,45,133,227,0,14,7,-12,182,0,0,-18,88,0,0,0,1,6,94
"79351","Villiers-en-Plaine",297,364,327,132,128,146,0,0,0,0,0,0,14,0,0,0,-4,0,0,0,0,0,18,0
"79352","Villiers-sur-Chizé",74,96,77,74,77,51,0,19,0,0,1,0,-23,0,0,0,3,19,0,0,0,0,-26,-19
"79354","Vouhé",1102,1314,1313,1101,1313,1312,0,0,0,0,0,0,211,0,0,0,212,0,0,0,0,0,-1,0
"79355","Vouillé",680,630,645,368,302,311,0,0,0,0,0,0,-57,0,0,0,-66,0,0,0,0,0,9,0
"79357","Xaintray",428,428,424,427,427,422,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,-5,0
"80001","Abbeville",1516,1522,1566,635,513,458,0,0,0,0,0,0,-177,0,0,0,-122,0,0,0,0,0,-55,0
"80002","Ablaincourt-Pressoir",45,116,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80003","Acheux-en-Amiénois",97,96,112,60,59,61,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,2,0
"80004","Acheux-en-Vimeu",356,353,328,324,321,296,0,0,0,0,0,0,-28,0,0,0,-3,0,0,0,0,0,-25,0
"80005","Agenville",84,84,80,60,60,56,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,-4,0
"80006","Agenvillers",162,154,159,118,110,115,0,0,0,0,0,0,-3,0,0,0,-8,0,0,0,0,0,5,0
"80008","Aigneville",283,272,276,201,190,196,0,0,0,0,0,0,-5,0,0,0,-11,0,0,0,0,0,6,0
"80009","Ailly-le-Haut-Clocher",185,201,167,110,104,62,0,0,0,0,0,0,-48,0,0,0,-6,0,0,0,0,0,-42,0
"80010","Ailly-sur-Noye",328,289,306,83,78,86,26,26,26,0,0,0,3,0,0,0,-5,0,0,0,0,0,8,0
"80011","Ailly-sur-Somme",222,222,217,120,120,71,0,0,0,0,0,0,-49,0,0,0,0,0,0,0,0,0,-49,0
"80013","Airaines",456,401,401,313,243,242,0,0,0,0,0,0,-71,0,0,0,-70,0,0,0,0,0,-1,0
"80014","Aizecourt-le-Bas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80015","Aizecourt-le-Haut",63,57,57,28,28,28,35,29,29,0,0,0,0,-6,0,0,0,-6,0,0,0,0,0,0
"80016","Albert",445,398,470,101,54,10,0,0,0,0,0,0,-91,0,0,0,-47,0,0,0,0,0,-44,0
"80017","Allaines",85,85,87,85,85,31,0,0,0,0,0,0,-54,0,0,0,0,0,0,0,0,0,-54,0
"80018","Allenay",72,72,72,49,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80019","Allery",230,230,231,149,149,150,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"80020","Allonville",95,44,117,0,0,0,66,1,66,0,0,0,0,0,0,0,0,-65,0,0,0,0,0,65
"80021","Amiens",3492,3596,3570,571,553,515,161,167,0,49,53,0,-56,-161,0,105,-18,6,68,62,0,43,-38,-167
"80022","Andainville",179,179,179,141,141,139,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,-2,0
"80023","Andechy",64,63,63,22,21,21,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0
"80024","Argœuves",161,158,171,88,62,63,0,17,0,0,1,0,-25,0,0,0,-26,17,17,0,0,0,1,-17
"80025","Argoules",204,184,185,123,103,104,26,26,26,2,2,2,-19,0,0,0,-20,0,0,0,0,0,1,0
"80026","Arguel",20,20,20,20,16,16,0,0,0,0,0,0,-4,0,0,0,-4,0,0,0,0,0,0,0
"80027","Armancourt",15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80028","Arquèves",60,33,39,35,8,9,0,0,0,0,0,0,-26,0,0,0,-27,0,0,0,0,0,1,0
"80029","Arrest",309,312,313,205,208,206,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,-2,0
"80030","Arry",71,71,69,28,28,24,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,-4,0
"80031","Arvillers",216,141,141,138,72,72,0,0,0,0,0,0,-66,0,0,0,-66,0,0,0,0,0,0,0
"80032","Assainvillers",83,83,84,46,46,47,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"80033","Assevillers",52,98,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80034","Athies",72,72,70,17,17,16,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0
"80035","Aubercourt",61,32,32,61,32,32,0,0,0,0,0,0,-29,0,0,0,-29,0,0,0,0,0,0,0
"80036","Aubigny",115,115,109,47,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80037","Aubvillers",47,47,47,28,28,28,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80038","Auchonvillers",61,40,40,61,40,40,0,0,0,0,0,0,-21,0,0,0,-21,0,0,0,0,0,0,0
"80039","Ault",212,212,211,105,105,104,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0
"80040","Aumâtre",151,147,148,124,120,122,0,0,0,0,0,0,-2,0,0,0,-4,0,0,0,0,0,2,0
"80041","Aumont",62,69,69,62,69,69,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0
"80042","Autheux",294,262,262,263,230,230,0,0,0,0,0,0,-33,0,0,0,-33,0,0,0,0,0,0,0
"80043","Authie",184,164,167,155,135,133,0,0,0,0,0,0,-22,0,0,0,-20,0,0,0,0,0,-2,0
"80044","Authieule",127,141,157,91,105,119,0,0,0,0,0,0,28,0,0,0,14,0,0,0,0,0,14,0
"80045","Authuille",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80046","Avelesges",56,54,52,56,54,52,0,0,0,0,0,0,-4,0,0,0,-2,0,0,0,0,0,-2,0
"80047","Aveluy",91,91,101,64,64,55,0,0,0,0,0,0,-9,0,0,0,0,0,0,0,0,0,-9,0
"80048","Avesnes-Chaussoy",94,78,61,94,78,61,0,0,0,0,0,0,-33,0,0,0,-16,0,0,0,0,0,-17,0
"80049","Ayencourt",120,120,119,64,94,93,0,0,0,0,0,0,29,0,0,0,30,0,0,0,0,0,-1,0
"80050","Bacouel-sur-Selle",112,112,116,112,112,116,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0
